# **BÁO CÁO TÀI CHÍNH**  
## **CÔNG TY CỔ PHẦN ĐẦU TƯ MST**  
**Số 2 ngõ 159 phố Tây Sơn, Thị trấn Phùng, H. Đan Phượng, TP. Hà Nội**  
**Cho năm tài chính kết thúc ngày 31/12/2023**  

### **BẢNG CÂN ĐỐI KẾ TOÁN**  
**Tại ngày 31 tháng 12 năm 2023**  
**Đơn vị tính: VND**  

| Mã số | TÀI SẢN | Thuyết minh | Số cuối năm | Số đầu năm |
|--------|----------|------------|-------------|-------------|
| **100** | **A - TÀI SẢN NGẮN HẠN** |  | **203.326.790.310** | **243.409.090.019** |
| **110** | I. Tiền và các khoản tương đương tiền | 3 | **1.622.802.579** | **1.215.292.804** |
| 111 | 1. Tiền |  | **1.622.802.579** | **1.215.292.804** |
| 112 | 2. Các khoản tương đương tiền |  | - | - |
| **120** | II. Đầu tư tài chính ngắn hạn |  | - | - |
| **130** | III. Các khoản phải thu ngắn hạn |  | **195.378.548.373** | **221.660.350.326** |
| 131 | 1. Phải thu ngắn hạn của khách hàng | 5 | **33.736.149.043** | **18.994.726.560** |
| 132 | 2. Trả trước cho người bán ngắn hạn | 6 | **26.711.867.342** | **61.841.168.270** |
| 135 | 3. Phải thu cho vay ngắn hạn | 7 | **12.048.357.500** | **13.500.000.000** |
| 136 | 4. Phải thu ngắn hạn khác | 8a | **151.134.224.288** | **127.324.455.496** |
| 137 | 5. Dự phòng phải thu ngắn hạn khó đòi (*) | 9 | **(28.252.049.800)** | - |
| **140** | IV. Hàng tồn kho | 10 | **6.223.728.006** | **20.510.985.916** |
| 141 | 1. Hàng tồn kho |  | **6.223.728.006** | **20.510.985.916** |
| 149 | 2. Dự phòng giảm giá hàng tồn kho (*) |  | - | - |
| **150** | V. Tài sản ngắn hạn khác |  | **101.711.352** | **22.460.973** |
| 151 | 1. Chi phí trả trước ngắn hạn | 12a | **8.060.225** | **18.144.406** |
| 152 | 2. Thuế GTGT được khấu trừ |  | **93.651.127** | - |
| 153 | 3. Thuế và các khoản khác phải thu Nhà nước | 16 | - | **4.316.567** |
| **200** | **B - TÀI SẢN DÀI HẠN** |  | **1.015.635.166.314** | **940.124.729.767** |
| **210** | I. Các khoản phải thu dài hạn |  | **120.000.000.000** | **325.810.670.860** |
| 216 | 1. Phải thu dài hạn khác | 8b | **120.000.000.000** | **325.810.670.860** |
| **220** | II. Tài sản cố định |  | **712.455.423** | **4.212.781.911** |
| 221 | 1. Tài sản cố định hữu hình | 11 | **712.455.423** | **4.212.781.911** |
| 222 | - Nguyên giá |  | **4.722.115.932** | **8.449.890.477** |
| 223 | - Giá trị hao mòn lũy kế (*) |  | **(4.009.660.509)** | **(4.237.108.566)** |
| **230** | III. Bất động sản đầu tư |  | - | - |
| **240** | IV. Tài sản dở dang dài hạn |  | - | - |
| **250** | V. Đầu tư tài chính dài hạn | 4 | **894.888.131.088** | **609.989.854.166** |
| 251 | 1. Đầu tư vào công ty con |  | - | **200.000.000** |
| 252 | 2. Đầu tư vào công ty liên doanh, liên kết |  | **550.639.854.166** | **450.639.854.166** |
| 253 | 3. Đầu tư góp vốn vào đơn vị khác |  | **357.633.300.000** | **159.150.000.000** |
| 254 | 4. Dự phòng đầu tư tài chính dài hạn (*) |  | **(13.385.023.078)** | - |
| **260** | VI. Tài sản dài hạn khác |  | **34.579.803** | **111.422.830** |
| 261 | 1. Chi phí trả trước dài hạn | 12b | **34.579.803** | **111.422.830** |
| **270** | **TỔNG CỘNG TÀI SẢN** |  | **1.218.961.956.624** | **1.183.533.819.786** |
