# **BÁO CÁO TÀI CHÍNH**  
## **CÔNG TY CỔ PHẦN ĐẦU TƯ MST**  
**Số 2 ngõ 159 phố Tây Sơn, Thị trấn Phùng, H. Đan Phượng, TP. Hà Nội**  
**Cho năm tài chính kết thúc ngày 31/12/2023**  

### **BẢNG CÂN ĐỐI KẾ TOÁN**  
**Tại ngày 31 tháng 12 năm 2023 (Tiếp theo)**  

## **NGUỒN VỐN**  

| Mã số | Thuyết minh | **Số cuối năm** | **Số đầu năm** |  
|--------|-------------|-----------------|----------------|  
| 300    | **C - NỢ PHẢI TRẢ** | **387.116.871.000** | **419.983.952.462** |  
| 310    | I. Nợ ngắn hạn |  |  |  
| 311    | 1. Phải trả người bán ngắn hạn | **151.043.543.353** | **84.168.054.593** |  
| 312    | 2. Người mua trả tiền trước ngắn hạn | **54.642.980.848** | **90.203.323.861** |  
| 313    | 3. Thuế và các khoản phải nộp Nhà nước | **25.916.811.136** | **13.058.683.419** |  
| 314    | 4. Phải trả người lao động | **107.463.563** | **107.346.281** |  
| 315    | 5. Chi phí phải trả ngắn hạn | **21.648.780.848** | **4.866.026.871** |  
| 319    | 6. Phải trả ngắn hạn khác | **9.270.756.150** | **35.169.348.099** |  
| 320    | 7. Vay và nợ thuê tài chính ngắn hạn | **4.168.786.068** | **191.272.105.835** |  
| 330    | II. Nợ dài hạn |  |  |  
| 338    | 1. Vay và nợ thuê tài chính dài hạn | **120.317.749.034** | **1.139.063.503** |  
| 400    | **D - VỐN CHỦ SỞ HỮU** | **831.845.085.624** | **763.549.867.324** |  
| 410    | I. Vốn chủ sở hữu |  |  |  
| 411    | 1. Vốn góp của chủ sở hữu | **760.043.010.000** | **681.406.910.000** |  
| 412    | 2. Thặng dư vốn cổ phần | - | - |  
| 414    | 3. Vốn khác của chủ sở hữu | - | - |  
| 418    | 4. Quỹ đầu tư phát triển | - | - |  
| 421    | 5. Lợi nhuận sau thuế chưa phân phối | **71.802.075.624** | **82.142.957.324** |  
| 421a   | - LNST chưa phân phối lũy kế đến cuối kỳ trước | **3.506.857.324** | **45.508.205.692** |  
| 421b   | - LNST chưa phân phối kỳ này | **68.295.218.300** | **36.634.751.632** |  
| 440    | **TỔNG CỘNG NGUỒN VỐN** | **1.218.961.956.624** | **1.183.533.819.786** |  

**Người lập biểu: Phạm Thị Ngọc Thư**  
**Kế toán trưởng: Nguyễn Đăng Kiên**  
**Giám đốc: Phan Duy Dũng**  
**Hà Nội, ngày 29 tháng 03 năm 2024**
