# CÔNG TY CỔ PHẦN ĐẦU TƯ MST
Số 2 ngõ 159 phố Tây Sơn, Thị trấn Phùng, H. Đan Phượng, TP. Hà Nội

## BÁO CÁO LƯU CHUYỂN TIỀN TỆ  
(Tiếp theo)  
Phương pháp gián tiếp  
Năm 2023

### Đơn vị tính: VND

| Mã số | CHỈ TIÊU | Năm nay | Năm trước |
|--------|----------|---------|-----------|
| III. Lưu chuyển tiền từ hoạt động tài chính |  |  |  |
| 31 | 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của CSH |  |  |
| 32 | 2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành | (223.035.424.446) | (281.900.572.327) |
| 33 | 3. Tiền vay ngắn hạn, dài hạn nhận được | 155.110.790.210 | 173.210.000.000 |
| 34 | 4. Tiền chi trả nợ gốc vay |  |  |
| 35 | 5. Tiền chi trả nợ thuế tài chính |  |  |
| 36 | 6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu |  |  |
| 40 | Lưu chuyển tiền thuần từ hoạt động tài chính | (67.924.634.236) | (108.690.572.327) |
| 50 | Lưu chuyển tiền thuần trong năm | 407.509.775 | (10.622.819.117) |
| 60 | Tiền và tương đương tiền đầu năm | 1.215.292.804 | 11.838.111.921 |
| 70 | Tiền và tương đương tiền cuối năm | 1.622.802.579 | 1.215.292.804 |

## Người lập biểu: Phạm Thị Ngọc Thư  
## Kế toán trưởng: Nguyễn Đăng Kiên  
Hà Nội, ngày 29 tháng 03 năm 2024  
## Tổng Giám đốc: Phan Duy Dũng
