# **BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH  
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024**  

## **CHỈ TIÊU**  
| Chỉ tiêu | Mã số | Thuyết minh | Năm nay (VND) | Năm trước (VND) |
|----------|--------|------------|---------------|----------------|
| 1. Doanh thu bán hàng và cung cấp dịch vụ | 01 | 5.1 | **1.273.890.610.665** | 1.207.223.328.653 |
| 2. Các khoản giảm trừ doanh thu | 02 |  | - | - |
| 3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02) | 10 |  | **1.273.890.610.665** | 1.207.223.328.653 |
| 4. Giá vốn hàng bán | 11 | 5.2 | **1.246.633.671.168** | 1.201.211.246.936 |
| 5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11) | 20 |  | **27.256.939.497** | 6.012.081.717 |
| 6. Doanh thu hoạt động tài chính | 21 | 5.3 | **29.070.685.854** | 24.332.369.712 |
| 7. Chi phí tài chính | 22 | 5.4 | **28.478.088.602** | 36.817.267.793 |
| Trong đó: Chi phí lãi vay | 23 |  | **18.733.601.049** | 17.536.687.713 |
| 8. Chi phí bán hàng | 25 |  | - | - |
| 9. Chi phí quản lý doanh nghiệp | 26 | 5.5 | **4.861.351.773** | 31.879.604.565 |
| 10. Lợi nhuận thuần (Lỗ) từ hoạt động kinh doanh (30 = 20 + (21 - 22) - (25 + 26)) | 30 |  | **22.988.184.976** | (38.352.420.929) |
| 11. Thu nhập khác | 31 | 5.6 | **3.106.516.673** | 142.628.400.926 |
| 12. Chi phí khác | 32 | 5.7 | **3.663.104.641** | 14.144.425.545 |
| 13. Lợi nhuận (Lỗ) khác (40 = 31 - 32) | 40 |  | **(556.587.968)** | 128.483.975.381 |
| 14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40) | 50 |  | **22.431.597.008** | 90.131.554.452 |
| 15. Chi phí thuế TNDN hiện hành | 51 | 5.8 | **5.292.047.744** | 21.836.336.152 |
| 16. Chi phí thuế TNDN hoãn lại | 52 |  | - | - |
| 17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50 - 51 - 52) | 60 |  | **17.139.549.264** | 68.295.218.300 |
| 18. Lãi cơ bản trên cổ phiếu | 70 | 5.9 |  | 965,3 |
